customerID,ACCT_BAL_TWD_MY,ACCT_BAL_TWD_MD,ACCT_BAL_TWD_FD,ACCT_BAL_TWD_FY,ACCT_BAL_TWD_MF,TVL_IND,TVL_AMT,Insight_Cha_001,SHP,PET,TVL,doubleCC_ind,GOV_TEAC_IND,CHILDREN_CN,EDU_CODE,INCOME_RANGE_CODE,WORK_YEARS,GENDER_CODE,AGE,CC_IND,WORLD_CARD_IND,PERSONAL_LN_IND,PAYROLL_ACCT_IND,PERSONAL_NET_FETW_IND,PERSONAL_NET_BANK_IND,INSURE_IND,PURE_CC_IND,MF_IND,WM_CLUB_MEM_IND,contact_seg,VIP_IND,SPT,CFE,BTY,CAR,FIN,ELE,FOD,SHW,EDU,HEA,SOC,POL,LIF,Insight_Cha_002,Insight_Cha_003,Insight_Cha_004,Insight_Cha_005,Insight_Cha_006,Insight_Cha_007,Insight_Cha_008,Insight_Cha_001_1,Insight_Cha_002_2,Insight_Cha_003_3,Insight_Cha_004_1,Insight_Cha_005_1,Insight_Cha_006_1,Insight_Cha_007_1,Insight_Cha_008_1,ONLINE_SHP_IND,res
1,23.0,33.0,10.0,23.0,-1.0,0,0,1,1,0,0,1,0,0.0,3.0,2.0,13.83,1,65.0,1,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,23,8,0,2,0,0,76,0,1,3
2,0.0,0.0,-1.0,-1.0,-1.0,0,0,1,1,0,0,0,1,0.0,3.0,2.0,0.0,1,65.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,3,14,0,4,2,0,0,0,1,3
4,10.0,25.0,210.0,280.0,-1.0,0,0,1,0,0,0,0,1,0.0,2.0,2.0,4.5,1,66.0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,104,27,0,10,1,0,3,0,1,0
8,6.0,0.0,-1.0,-1.0,-1.0,0,0,1,1,0,0,0,0,0.0,3.0,1.0,2.08,1,64.0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,5,0,2,1,0,0,0,1,3
12,64.0,40.0,50.0,283.0,80.0,0,0,1,0,0,0,0,0,0.0,3.0,3.0,0.0,1,67.0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,47,70,0,0,0,0,1,0,0,0
13,2.0,13.0,65.0,78.0,60.0,0,0,1,1,0,0,0,0,0.0,4.0,2.0,10.75,1,63.0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,229,134,6,4,2,0,2,0,1,0
17,0.0,86.0,-1.0,-1.0,-1.0,0,0,1,0,0,0,0,0,0.0,5.0,3.0,0.0,1,70.0,1,1,0,0,1,1,1,0,0,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3
18,-1.0,4.0,-1.0,-1.0,-1.0,0,0,1,0,0,0,0,0,0.0,-1.0,1.0,-1.0,1,64.0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,33,0,0,0,0,0,0,0,3
22,6.0,1.0,-1.0,20.0,141.0,0,0,1,0,0,0,0,0,0.0,5.0,1.0,40.0,0,65.0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,13,4,0,5,0,0,2,0,0,0
23,-1.0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0.0,-1.0,1.0,-1.0,0,76.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,3
25,3.0,81.0,420.0,41.0,-1.0,0,0,1,0,0,0,1,0,0.0,3.0,2.0,6.0,0,64.0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,56,8,0,4,4,0,0,0,0,0
28,56.0,74.0,-1.0,-1.0,-1.0,0,0,1,1,0,0,1,0,0.0,3.0,1.0,0.0,0,64.0,1,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,2,2,4,0,0,0,0,3
33,115.0,95.0,-1.0,127.0,-1.0,0,0,1,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,84,16,0,0,2,0,12,0,0,0
34,56.0,9.0,-1.0,-1.0,53.0,0,0,1,1,0,1,0,0,0.0,1.0,2.0,0.0,1,38.0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,124,64,5,1,14,0,0,0,1,3
39,-1.0,4.0,-1.0,-1.0,-1.0,0,0,1,0,0,0,0,0,0.0,3.0,1.0,-1.0,1,30.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,43,0,0,0,0,17,0,0,3
43,10.0,2.0,-1.0,191.0,-1.0,0,0,1,0,0,0,0,1,0.0,3.0,2.0,0.0,1,65.0,1,0,0,0,1,1,1,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,5,0,2,0,0,0,0,0,3
45,10.0,8.0,-1.0,9.0,72.0,0,0,1,0,0,0,0,0,0.0,2.0,2.0,0.0,1,73.0,1,0,0,0,1,1,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,54,18,0,0,3,0,2,0,0,3
46,13.0,2.0,-1.0,-1.0,-1.0,1,2,1,1,0,0,0,0,0.0,3.0,1.0,0.0,1,72.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,17,24,1,3,8,0,0,0,0,3
47,-1.0,28.0,-1.0,-1.0,-1.0,0,0,1,0,0,0,0,1,0.0,3.0,2.0,43.0,1,75.0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,3
48,13.0,15.0,-1.0,-1.0,-1.0,0,0,1,0,0,1,1,0,0.0,3.0,4.0,20.75,1,70.0,1,0,0,1,1,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,30,0,6,0,0,0,0,1,3
49,13.0,53.0,-1.0,-1.0,-1.0,0,0,1,1,0,0,0,1,0.0,6.0,1.0,0.0,1,69.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,73,4,0,2,2,0,2,0,1,3
51,-1.0,9.0,203.0,-1.0,-1.0,0,0,1,0,0,0,0,0,0.0,3.0,2.0,0.0,1,71.0,1,1,0,0,0,1,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,16,0,0,0,0,0,0,0,3
53,20.0,27.0,1376.0,197.0,-1.0,0,0,1,0,0,0,0,0,3.0,4.0,1.0,1.25,1,65.0,1,0,0,0,1,1,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,34,32,3,1,3,4,46,0,0,0
57,11.0,0.0,-1.0,181.0,500.0,0,0,1,0,0,0,0,0,0.0,4.0,2.0,0.0,1,63.0,1,0,0,0,1,1,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,6,77,0,6,6,0,1,0,0,5
63,-1.0,2.0,51.0,-1.0,189.0,0,0,1,0,0,0,0,0,0.0,6.0,2.0,0.0,0,66.0,1,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,328,10,0,0,0,0,0,0,0,0
70,0.0,2.0,1.0,-1.0,-1.0,1,20,1,1,0,0,0,0,0.0,3.0,3.0,0.0,1,41.0,1,1,0,0,1,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,5,7,1,2,0,0,19,0,1,3
79,0.0,14.0,-1.0,17.0,-1.0,0,0,1,0,0,0,0,0,0.0,1.0,2.0,30.16,1,68.0,1,1,0,0,1,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,5,0,0,1,0,0,0,1,3
80,9.0,54.0,-1.0,28.0,239.0,0,0,1,0,0,0,0,0,0.0,3.0,1.0,-1.0,1,64.0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,9,18,0,2,0,1,0,0,0,0
84,46.0,32.0,-1.0,21.0,-1.0,0,0,1,0,0,1,0,1,0.0,2.0,2.0,0.0,1,63.0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,49,0,21,0,0,0,0,0,3
87,6.0,4.0,-1.0,-1.0,183.0,0,0,1,0,0,0,0,0,0.0,5.0,1.0,0.0,0,67.0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,26,67,2,0,0,0,0,0,0,0
94,0.0,1.0,-1.0,-1.0,75.0,0,0,1,0,0,0,0,0,0.0,3.0,1.0,0.0,0,61.0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,25,0,0,0,0,0,0,0,3
98,0.0,2.0,-1.0,-1.0,-1.0,0,0,1,1,0,0,0,0,0.0,6.0,3.0,0.0,0,61.0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,9,63,3,2,2,0,1,0,0,3
99,8.0,7.0,-1.0,94.0,204.0,0,0,1,1,0,1,1,0,0.0,5.0,2.0,1.0,0,61.0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,7,25,2,12,8,0,1,3,0,0
100,5.0,14.0,70.0,45.0,96.0,0,0,1,1,0,0,0,0,0.0,5.0,1.0,0.0,0,71.0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,61,10,0,0,1,0,0,0,0,0
101,3.0,68.0,-1.0,145.0,-1.0,0,0,1,0,0,0,0,0,0.0,4.0,1.0,0.0,0,64.0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,17,13,0,3,0,0,1,0,0,0
104,14.0,20.0,-1.0,-1.0,-1.0,0,0,1,0,0,0,0,0,0.0,4.0,1.0,0.0,0,55.0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,32,0,3,0,0,0,0,0,3
106,174.0,138.0,-1.0,1201.0,-1.0,0,0,1,0,0,0,0,0,0.0,6.0,1.0,-1.0,1,80.0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,21,18,0,4,0,0,0,0,0,8
116,1.0,0.0,-1.0,37.0,-1.0,0,0,1,0,0,0,0,0,0.0,3.0,1.0,30.0,1,65.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,5,0,0,0,0,0,3
